User_ID,Subscription_Type,Monthly_Revenue,Country,Age,Gender,Device
21,Premium,15,United States,26,Female,Laptop
260,Basic,10,Italy,27,Female,Smartphone
380,Basic,15,Italy,27,Female,Smart TV
1130,Basic,14,Italy,27,Female,Smart TV
1520,Basic,11,Italy,27,Female,Smartphone
1970,Basic,14,Italy,27,Male,Laptop
2015,Basic,12,Italy,27,Male,Smartphone
2210,Basic,11,Italy,27,Male,Smartphone
39,Premium,15,Spain,27,Female,Smart TV
59,Premium,15,Spain,27,Female,Smart TV
299,Premium,10,Spain,27,Male,Smartphone
419,Standard,11,Spain,27,Female,Laptop
607,Standard,14,Spain,27,Female,Smart TV
619,Premium,11,Spain,27,Male,Smartphone
711,Premium,14,Spain,27,Female,Laptop
739,Standard,13,Spain,27,Male,Smartphone
771,Premium,14,Spain,27,Male,Tablet
784,Standard,14,Spain,27,Male,Laptop
921,Premium,14,Spain,27,Female,Smart TV
1191,Premium,12,Spain,27,Female,Smartphone
1654,Standard,14,Spain,27,Male,Tablet
1776,Premium,15,Spain,27,Female,Smart TV
1879,Standard,10,Spain,27,Female,Smart TV
1986,Premium,15,Spain,27,Male,Smart TV
2181,Premium,13,Spain,27,Male,Laptop
2211,Premium,13,Spain,27,Male,Laptop
177,Basic,15,Brazil,27,Female,Smartphone
247,Basic,12,Brazil,27,Male,Smart TV
1082,Basic,13,Brazil,27,Male,Tablet
1202,Premium,15,Brazil,27,Male,Smart TV
1412,Basic,15,Brazil,27,Male,Laptop
1562,Basic,12,Brazil,27,Male,Smartphone
1742,Basic,13,Brazil,27,Male,Laptop
2117,Basic,13,Brazil,27,Male,Laptop
2132,Basic,12,Brazil,27,Male,Smart TV
2447,Basic,14,Brazil,27,Male,Tablet
642,Basic,11,Canada,27,Male,Laptop
669,Premium,13,Canada,27,Female,Tablet
1239,Premium,11,Canada,27,Male,Laptop
1272,Basic,13,Canada,27,Male,Smartphone
1464,Premium,10,Canada,27,Male,Laptop
1632,Basic,14,Canada,27,Female,Laptop
1944,Premium,15,Canada,27,Male,Tablet
2397,Basic,15,Canada,27,Male,Smartphone
2412,Premium,12,Canada,27,Female,Smart TV
2472,Basic,14,Canada,27,Female,Tablet
796,Premium,12,France,27,Male,Smart TV
1036,Premium,14,France,27,Female,Smartphone
1681,Premium,15,France,27,Male,Smart TV
108,Standard,12,Mexico,27,Female,Smart TV
218,Standard,12,Mexico,27,Male,Tablet
458,Basic,10,Mexico,27,Male,Tablet
1173,Standard,11,Mexico,27,Male,Smartphone
1470,Basic,10,Germany,27,Female,Tablet
1830,Basic,12,Germany,27,Female,Smartphone
2205,Basic,12,Germany,27,Male,Smart TV
14,Basic,10,Australia,27,Male,Smartphone
154,Standard,11,Australia,27,Male,Laptop
274,Premium,10,Australia,27,Female,Tablet
704,Premium,13,Australia,27,Female,Tablet
1019,Standard,14,Australia,27,Female,Tablet
1454,Premium,11,Australia,27,Female,Smartphone
1589,Basic,11,Australia,27,Female,Tablet
1919,Standard,11,Australia,27,Female,Smart TV
2084,Premium,13,Australia,27,Female,Smartphone
71,Basic,10,United States,27,Male,Smartphone
121,Premium,15,United States,27,Male,Smart TV
261,Premium,13,United States,27,Female,Smart TV
506,Premium,14,United States,27,Male,Smart TV
773,Standard,13,United States,27,Female,Smart TV
925,Basic,10,United States,27,Female,Laptop
1045,Basic,13,United States,27,Male,Tablet
1046,Basic,13,United States,27,Male,Laptop
1298,Standard,14,United States,27,Male,Laptop
1420,Basic,12,United States,27,Female,Smartphone
1691,Premium,13,United States,27,Female,Smart TV
1733,Basic,15,United States,27,Female,Tablet
1735,Premium,10,United States,27,Male,Smartphone
1810,Premium,14,United States,27,Male,Laptop
1931,Premium,14,United States,27,Male,Tablet
2168,Standard,14,United States,27,Male,Smart TV
2350,Basic,12,United States,27,Female,Laptop
568,Standard,11,United Kingdom,27,Female,Laptop
718,Standard,14,United Kingdom,27,Male,Tablet
1078,Standard,14,United Kingdom,27,Male,Laptop
1213,Standard,10,United Kingdom,27,Male,Smart TV
1618,Standard,11,United Kingdom,27,Male,Smart TV
1903,Standard,12,United Kingdom,27,Female,Smart TV
250,Basic,14,Italy,28,Male,Laptop
420,Basic,10,Italy,28,Male,Laptop
650,Basic,15,Italy,28,Female,Smart TV
695,Basic,13,Italy,28,Male,Laptop
875,Basic,14,Italy,28,Male,Smart TV
1025,Basic,13,Italy,28,Male,Smartphone
1220,Basic,13,Italy,28,Male,Smart TV
1280,Basic,14,Italy,28,Female,Laptop
1700,Basic,12,Italy,28,Female,Smart TV
1730,Basic,10,Italy,28,Female,Smartphone
49,Premium,15,Spain,28,Female,Laptop
259,Standard,15,Spain,28,Male,Smartphone
349,Premium,14,Spain,28,Male,Smartphone
499,Premium,10,Spain,28,Female,Laptop
589,Standard,15,Spain,28,Male,Laptop
981,Premium,10,Spain,28,Female,Smart TV
1011,Premium,15,Spain,28,Male,Smart TV
1027,Basic,12,Spain,28,Female,Tablet
1249,Premium,14,Spain,28,Female,Smart TV
1251,Premium,10,Spain,28,Female,Tablet
1296,Premium,12,Spain,28,Male,Smart TV
1507,Standard,15,Spain,28,Female,Tablet
1684,Standard,13,Spain,28,Male,Smartphone
1746,Premium,14,Spain,28,Male,Smart TV
1762,Basic,10,Spain,28,Female,Smartphone
1837,Basic,13,Spain,28,Female,Smartphone
1881,Premium,15,Spain,28,Male,Tablet
1926,Premium,11,Spain,28,Female,Tablet
2029,Standard,10,Spain,28,Male,Smart TV
2104,Standard,13,Spain,28,Female,Tablet
2106,Premium,10,Spain,28,Female,Smartphone
2197,Basic,11,Spain,28,Male,Smartphone
2257,Standard,12,Spain,28,Female,Laptop
2496,Premium,14,Spain,28,Female,Smart TV
752,Premium,10,Brazil,28,Female,Smartphone
902,Premium,12,Brazil,28,Male,Tablet
1367,Basic,11,Brazil,28,Female,Smartphone
1472,Basic,14,Brazil,28,Female,Laptop
1517,Basic,11,Brazil,28,Female,Smart TV
1787,Basic,11,Brazil,28,Male,Laptop
1922,Basic,13,Brazil,28,Male,Tablet
2432,Basic,11,Brazil,28,Female,Tablet
142,Basic,14,Canada,28,Male,Smart TV
232,Standard,11,Canada,28,Male,Smartphone
262,Basic,12,Canada,28,Female,Tablet
392,Basic,15,Canada,28,Male,Smart TV
969,Premium,12,Canada,28,Male,Smart TV
1182,Basic,14,Canada,28,Female,Smartphone
1512,Premium,10,Canada,28,Female,Smart TV
1587,Premium,12,Canada,28,Male,Tablet
1644,Premium,14,Canada,28,Male,Smartphone
1704,Standard,10,Canada,28,Male,Laptop
1737,Premium,12,Canada,28,Female,Laptop
1962,Premium,12,Canada,28,Female,Tablet
2184,Standard,12,Canada,28,Male,Tablet
2364,Premium,13,Canada,28,Female,Smart TV
2427,Basic,15,Canada,28,Female,Smartphone
416,Premium,10,France,28,Male,Tablet
691,Premium,11,France,28,Female,Laptop
1096,Premium,15,France,28,Male,Smartphone
1216,Premium,15,France,28,Female,Tablet
1666,Premium,11,France,28,Male,Laptop
1906,Premium,11,France,28,Male,Tablet
2011,Premium,10,France,28,Female,Tablet
2311,Premium,14,France,28,Male,Smart TV
2476,Basic,13,France,28,Male,Tablet
138,Standard,15,Mexico,28,Male,Laptop
368,Standard,13,Mexico,28,Male,Smartphone
618,Standard,10,Mexico,28,Female,Smart TV
1083,Standard,12,Mexico,28,Female,Laptop
1593,Standard,14,Mexico,28,Male,Smartphone
1893,Standard,10,Mexico,28,Male,Smartphone
2178,Standard,11,Mexico,28,Female,Tablet
2418,Standard,13,Mexico,28,Female,Laptop
